1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20
4,4,8,9,20,23,31,33,41,63,77,83,89,93,97,102,112,117,120,127,131,134,135,136,151,168,177,186,196,279,410,698,985,1343,1595,2050,2826,3674,4845,6119,7208,8638,9955,11645,13585,15953,18414,20770,23208,27249,27989,37575,44030,49969,58835,68166,79575,96914,117119,136845,157716,184084,209659,238279,279192,321326,365932,404369,445849,498463,550237,606670,665888,724457,777633,830458,886141,947278,1010365,1077611,1135029,1215648,1266966,1322217,1379492,1450840,1515553,1576426,1636964
0,0,0,0,1,1,1,1,3,3,3,3,3,3,3,3,4,4,9,12,17,27,34,34,41,51,54,68,73,77,88,89,92,91,103,106,152,154,170,210,276,299,426,574,781,890,907,1009,1172,1558,1607,2201,2740,3118,4216,4718,6078,6528,6673,8443,13080,13080,19506,21887,26941,30039,34149,38957,49208,57493,64536,72763,80305,91004,98700,104372,118750,135776,149941,160940,172527,182410,200047,216385,241869,256660,275537,291928,314751
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,5,6,11,17,22,28,36,40,53,61,96,125,165,210,272,315,469,578,769,1004,1015,1504,1723,2105,2583,2972,3500,4209,5175,6249,7241,8277,9571,10864,12468,14389,16474,18367,20507,23410,26787,30716,34811,39015,42248,45872,51228,55834,61249,66363,70767,74777,78714,83886,90252,98003,104955,109545,113759
