1/22/20,1/23/20,1/24/20,1/25/20,1/26/20,1/27/20,1/28/20,1/29/20,1/30/20,1/31/20,2/1/20,2/2/20,2/3/20,2/4/20,2/5/20,2/6/20,2/7/20,2/8/20,2/9/20,2/10/20,2/11/20,2/12/20,2/13/20,2/14/20,2/15/20,2/16/20,2/17/20,2/18/20,2/19/20,2/20/20,2/21/20,2/22/20,2/23/20,2/24/20,2/25/20,2/26/20,2/27/20,2/28/20,2/29/20,3/1/20,3/2/20,3/3/20,3/4/20,3/5/20,3/6/20,3/7/20,3/8/20,3/9/20,3/10/20,3/11/20,3/12/20,3/13/20,3/14/20,3/15/20,3/16/20,3/17/20,3/18/20,3/19/20,3/20/20,3/21/20,3/22/20,3/23/20,3/24/20,3/25/20,3/26/20,3/27/20,3/28/20,3/29/20,3/30/20,3/31/20,4/1/20,4/2/20,4/3/20,4/4/20,4/5/20,4/6/20,4/7/20,4/8/20,4/9/20,4/10/20,4/11/20,4/12/20,4/13/20,4/14/20,4/15/20,4/16/20,4/17/20,4/18/20,4/19/20,4/20/20,4/21/20,4/22/20,4/23/20,4/24/20,4/25/20,4/26/20,4/27/20,4/28/20,4/29/20,4/30/20,5/1/20
4,4,8,9,20,23,31,33,41,63,77,83,89,93,97,102,112,117,120,127,131,134,135,136,151,168,177,186,196,279,410,698,985,1343,1595,2050,2826,3674,4845,6119,7208,8638,9955,11645,13585,15953,18414,20770,23208,27249,27989,37589,44045,49981,58864,68177,79600,96960,117158,136893,157781,184135,209697,238349,279302,321458,366063,404514,445950,498584,550270,606662,665847,724456,777616,830404,886103,947276,1010625,1078014,1135404,1216090,1267319,1321606,1378943,1450274,1515085,1576006,1636428,1689213,1746547,1800731,1861212,1929156,1993062,2047951,2100408,2155975,2210591,2274632,2341262
0,0,0,0,1,1,1,1,3,3,3,3,3,3,3,3,4,4,9,12,17,27,34,34,41,51,54,68,73,77,88,89,92,91,103,106,152,154,170,210,276,299,426,574,781,890,907,1009,1172,1558,1607,2201,2740,3118,4216,4718,6078,6528,6673,8443,13080,13080,19506,21887,26941,30039,34149,38957,49208,57493,64536,72763,80305,91004,98700,104372,118750,135776,149941,160940,172527,182410,200047,216092,241354,256145,274951,291324,314146,325596,341912,359521,376534,412610,430243,449555,468252,491923,514831,567348,597152
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2,3,5,6,11,17,22,28,36,40,53,61,96,125,165,209,271,315,468,577,770,1003,1017,1508,1734,2137,2607,3023,3590,4288,5298,6401,7415,8531,9960,11468,13286,15479,17619,19765,22364,25541,29282,33550,37836,42390,45950,50074,55953,60850,66610,71951,76411,80540,84792,90340,96732,102147,107936,113248,116487,120580,126191,131302,136602,141377,146281,149090,152532,157513,162910,167426,171771
